Date,Ticker,Open,High,Low,Close,Volume
2025-02-27,BHP.AX,39.1,39.36,38.96,39.22,5916067
2025-02-28,BHP.AX,38.53,38.68,37.99,38.26,18135055
2025-03-03,BHP.AX,38.15,38.9,38.14,38.81,8342631
2025-03-04,BHP.AX,38.42,38.83,38.18,38.69,8386617
2025-03-05,BHP.AX,38.76,39.18,38.7,38.75,9749141
2025-03-06,BHP.AX,42.0,42.15,38.97,39.23,13022584
2025-03-07,BHP.AX,39.36,39.69,38.89,38.98,9314621
2025-03-10,BHP.AX,39.25,39.42,38.91,39.2,6694025
2025-03-11,BHP.AX,39.35,40.07,39.02,39.65,11725876
2025-03-12,BHP.AX,39.47,39.56,38.82,38.95,11127309
2025-03-13,BHP.AX,38.4,38.6,38.24,38.24,8616307
2025-03-14,BHP.AX,38.72,39.03,38.55,38.65,7587140
2025-03-17,BHP.AX,38.78,39.64,38.76,39.58,9707208
2025-03-18,BHP.AX,39.43,39.7,39.33,39.62,6990047
2025-03-19,BHP.AX,39.7,39.97,39.42,39.56,6283926
2025-03-20,BHP.AX,39.38,39.54,39.0,39.13,12485687
2025-03-21,BHP.AX,39.0,39.64,38.99,39.54,18313470
2025-03-24,BHP.AX,39.22,39.39,38.98,39.32,4818118
2025-03-25,BHP.AX,39.21,39.38,38.97,39.04,6558976
2025-03-26,BHP.AX,39.55,39.89,39.45,39.52,8633420
2025-03-27,BHP.AX,39.5,39.74,39.36,39.64,7659354
2025-03-28,BHP.AX,39.6,40.12,39.46,39.69,8620454
