Date,Ticker,Open,High,Low,Close,Volume
2025-02-27,CSL.AX,262.08,265.32,258.06,258.21,883510
2025-02-28,CSL.AX,258.33,259.91,257.43,258.49,1697246
2025-03-03,CSL.AX,260.89,262.09,259.48,259.91,687482
2025-03-04,CSL.AX,260.49,262.85,257.76,262.6,872529
2025-03-05,CSL.AX,261.89,263.18,260.14,262.15,855410
2025-03-06,CSL.AX,261.63,261.63,258.25,259.91,832358
2025-03-07,CSL.AX,256.45,259.05,255.94,257.59,752977
2025-03-10,CSL.AX,258.75,259.2,255.04,255.4,471213
2025-03-11,CSL.AX,254.58,255.76,250.1,251.93,962517
2025-03-12,CSL.AX,248.32,250.85,246.5,250.37,1048294
2025-03-13,CSL.AX,250.83,251.94,248.49,248.49,763037
2025-03-14,CSL.AX,249.66,251.18,248.81,250.05,985993
2025-03-17,CSL.AX,250.06,250.51,246.62,247.88,661183
2025-03-18,CSL.AX,248.15,250.82,247.69,247.69,1136961
2025-03-19,CSL.AX,246.2,250.65,246.2,250.29,754835
2025-03-20,CSL.AX,249.58,255.92,249.22,255.32,1452095
2025-03-21,CSL.AX,255.0,255.81,252.86,254.0,2323404
2025-03-24,CSL.AX,254.0,255.49,251.62,253.33,339738
2025-03-25,CSL.AX,253.16,257.36,253.16,256.8,652323
2025-03-26,CSL.AX,257.0,257.19,252.33,252.92,963293
2025-03-27,CSL.AX,250.4,253.63,250.0,252.41,733151
2025-03-28,CSL.AX,251.04,252.72,249.58,252.72,828635
