Date,Ticker,Open,High,Low,Close,Volume
2025-02-27,NAB.AX,35.58,35.58,35.13,35.45,4284354
2025-02-28,NAB.AX,35.32,35.58,35.14,35.3,11054364
2025-03-03,NAB.AX,35.49,35.63,35.08,35.32,4036756
2025-03-04,NAB.AX,35.08,35.11,34.85,35.05,3124791
2025-03-05,NAB.AX,34.75,34.87,34.27,34.55,4465136
2025-03-06,NAB.AX,34.51,34.64,34.28,34.59,4890180
2025-03-07,NAB.AX,34.25,34.58,33.9,34.26,5534116
2025-03-10,NAB.AX,34.25,34.3,34.05,34.07,3170204
2025-03-11,NAB.AX,33.6,34.31,33.53,34.1,5493308
2025-03-12,NAB.AX,33.55,33.83,33.06,33.38,6930766
2025-03-13,NAB.AX,33.35,33.55,33.16,33.21,4922735
2025-03-14,NAB.AX,33.17,33.63,33.02,33.3,4067924
2025-03-17,NAB.AX,33.55,33.65,32.88,33.24,5393517
2025-03-18,NAB.AX,33.3,33.38,32.47,32.59,5761159
2025-03-19,NAB.AX,32.5,32.83,32.36,32.65,5734374
2025-03-20,NAB.AX,32.71,33.21,32.71,33.09,8716437
2025-03-21,NAB.AX,33.13,33.43,32.99,33.18,11440658
2025-03-24,NAB.AX,33.23,33.91,33.18,33.91,4515383
2025-03-25,NAB.AX,34.14,34.39,33.71,33.75,4691013
2025-03-26,NAB.AX,33.97,34.28,33.89,33.98,4214234
2025-03-27,NAB.AX,33.62,34.1,33.56,34.1,6091193
2025-03-28,NAB.AX,34.0,34.25,33.82,34.17,3214752
